PM2.5,PM2.5(D-1),PM2.5(D-3),PM2.5(D-7),PM2.5(D+1),PM2.5(D+3),PM2.5(D+7),Season_Summer,Season_Rainy,Season_Winter
49.0,38.0,38.0,20.0,47.0,42.0,31.0,0,0,1
47.0,49.0,40.0,24.0,70.0,33.0,37.0,0,0,1
70.0,47.0,38.0,27.0,42.0,30.0,42.0,0,0,1
42.0,70.0,49.0,34.0,33.0,29.0,52.0,0,0,1
33.0,42.0,47.0,38.0,30.0,31.0,52.0,0,0,1
30.0,33.0,70.0,40.0,29.0,37.0,56.0,0,0,1
29.0,30.0,42.0,38.0,31.0,42.0,45.0,0,0,1
31.0,29.0,33.0,49.0,37.0,52.0,32.0,0,0,1
37.0,31.0,30.0,47.0,42.0,52.0,33.0,0,0,1
42.0,37.0,29.0,70.0,52.0,56.0,24.0,0,0,1
52.0,42.0,31.0,42.0,52.0,45.0,16.0,0,0,1
52.0,52.0,37.0,33.0,56.0,32.0,15.0,0,0,1
56.0,52.0,42.0,30.0,45.0,33.0,19.0,0,0,1
45.0,56.0,52.0,29.0,32.0,24.0,26.0,0,0,1
32.0,45.0,52.0,31.0,33.0,16.0,29.0,0,0,1
33.0,32.0,56.0,37.0,24.0,15.0,29.0,0,0,1
24.0,33.0,45.0,42.0,16.0,19.0,45.0,0,0,1
16.0,24.0,32.0,52.0,15.0,26.0,55.0,0,0,1
15.0,16.0,33.0,52.0,19.0,29.0,59.0,0,0,1
19.0,15.0,24.0,56.0,26.0,29.0,46.0,0,0,1
26.0,19.0,16.0,45.0,29.0,45.0,44.0,0,0,1
29.0,26.0,15.0,32.0,29.0,55.0,31.0,0,0,1
29.0,29.0,19.0,33.0,45.0,59.0,22.0,0,0,1
45.0,29.0,26.0,24.0,55.0,46.0,30.0,0,0,1
55.0,45.0,29.0,16.0,59.0,44.0,35.0,0,0,1
59.0,55.0,29.0,15.0,46.0,31.0,39.0,0,0,1
46.0,59.0,45.0,19.0,44.0,22.0,43.0,0,0,1
