Date,59T
1/1/2023,22.0
1/2/2023,22.0
1/3/2023,21.0
1/4/2023,15.0
1/5/2023,16.0
1/6/2023,12.0
1/7/2023,15.0
1/8/2023,29.0
1/9/2023,35.0
1/10/2023,26.0
1/11/2023,12.0
1/12/2023,19.0
1/13/2023,16.0
1/14/2023,15.0
1/15/2023,18.0
1/16/2023,18.0
1/17/2023,24.0
1/18/2023,19.0
1/19/2023,18.0
1/20/2023,21.0
1/21/2023,26.0
1/22/2023,31.0
1/23/2023,42.0
1/24/2023,39.0
1/25/2023,19.0
1/26/2023,34.0
1/27/2023,40.0
1/28/2023,17.0
1/29/2023,23.0
1/30/2023,31.0
1/31/2023,53.0
2/1/2023,63.0
2/2/2023,64.0
2/3/2023,30.0
2/4/2023,20.0
2/5/2023,15.0
2/6/2023,13.0
2/7/2023,13.0
2/8/2023,15.0
2/9/2023,11.0
2/10/2023,10.0
2/11/2023,10.0
2/12/2023,12.0
2/13/2023,14.0
2/14/2023,18.0
2/15/2023,23.0
2/16/2023,18.0
2/17/2023,25.0
2/18/2023,35.0
2/19/2023,44.0
2/20/2023,29.0
2/21/2023,27.0
2/22/2023,33.0
2/23/2023,36.0
2/24/2023,47.0
2/25/2023,33.0
2/26/2023,26.0
2/27/2023,32.0
2/28/2023,40.0
3/1/2023,44.0
3/2/2023,41.0
3/3/2023,31.0
3/4/2023,46.0
3/5/2023,42.0
3/6/2023,51.0
3/7/2023,62.0
3/8/2023,54.0
3/9/2023,39.0
3/10/2023,42.0
3/11/2023,31.0
3/12/2023,30.0
3/13/2023,36.0
3/14/2023,35.0
3/15/2023,35.0
3/16/2023,24.0
3/17/2023,19.0
3/18/2023,18.0
3/19/2023,18.0
3/20/2023,18.0
3/21/2023,21.0
3/22/2023,21.0
3/23/2023,15.0
3/24/2023,18.0
3/25/2023,17.0
3/26/2023,15.0
3/27/2023,17.0
3/28/2023,12.0
3/29/2023,10.0
3/30/2023,13.0
3/31/2023,16.0
4/1/2023,16.0
4/2/2023,21.0
4/3/2023,29.0
4/4/2023,35.0
4/5/2023,39.0
4/6/2023,36.0
4/7/2023,22.0
4/8/2023,16.0
4/9/2023,16.0
4/10/2023,16.0
4/11/2023,27.0
4/12/2023,31.0
4/13/2023,36.0
4/14/2023,43.0
4/15/2023,48.0
4/16/2023,47.0
4/17/2023,44.0
4/18/2023,40.0
4/19/2023,41.0
4/20/2023,40.0
4/21/2023,48.0
4/22/2023,48.0
4/23/2023,30.0
4/24/2023,25.0
